,text,claim,emotion
0,What do you do if you are a global warming alarmist and real-world temperatures do not warm as much as your climate model predicted?,5_1,curiosity
2,"Now, I am very interested in the AMO, since it strongly influences Atlantic hurricanes, Arctic sea ice, and Greenland climate. We are already seeing a recovery of the Atlantic sector of the Arctic sea ice, and some hints of cooling in Greenland.",1_1,approval
6,There could also be other unknown mechanisms driven by solar changes that exaggerate the effect of small variations in total solar irradiance. A current possibility being investigated is a suggested link between cosmic ray flux and cloudiness. The flux varies depending on the energy from the sun and may drive cloudiness changes.,2_1,neutral
15,"One key problem is the sheer difficulty in building new power plants in America today. Politically powerful green lobby groups object to the building of any new plant that does not use some form of renewable energy, yet renewable energy cannot meet demand for power on its own.",4_4,disapproval
16,"I am sure that we can expect to see similar coverage about the 2nd highest Northern Sea Ice Area minimum, like we saw for the Arctic in 2011, e.g.:",1_1,approval
17,"According to Donohue and his colleagues, climbing levels of CO2 in the air correlated with an 11 per cent increase in foliage cover from 1982 to 2010 across arid areas in Australia, North America, the Middle East and Africa.",3_3,realization
21,Moreover the WBDGE site writes that Arctic sea ice has grown strongly over last year and that there has been no melting trend there in almost 10 years.,1_1,neutral
22,"US energy policy is behind much of the price increase, the Obama administration seems intent on doing everything possible to prevent domestic drilling for oil. Last week the EPA blocked Shell from exploiting reserves off the Alaskan coast. Last year the administration imposed a Gulf moratorium on offshore drilling in the wake of the rig disaster.",4_1,neutral
23,"First, the computer climate models on which predictions of rapid warming from enhanced atmospheric greenhouse gas concentration are based ""run hot,"" simulating two to three times the warming actually observed over relevant periodsduring which non-anthropogenic causes probably accounted for some and could have accounted for all the observed warmingand therefore provide no rational basis for predicting future GAT.",5_1,neutral
30,"Fourth, experience in Europe shows emissions trading markets are unstable, and that a carbon dioxide tax is ineffectual as a tool for reducing emissions at any reasonable price level. Overall, therefore, Mr Rudds planned emissions trading scheme suffers from the double indignity of being a non-solution to a non-problem.",4_2,neutral
33,"5) The science is not settled, not by a long shot. Last month, scientists at CERN, the prestigious high-energy physics lab in Switzerland, reported that neutrinos might ""repeat, might ""travel faster than the speed of light. If serious scientists can question Einstein's theory of relativity, then there must be room for debate about the workings and complexities of the Earth's atmosphere.",5_1,neutral
